id,graphic card type,communications,resolution (px),CPU cores,RAM size,operating system,drive type,input devices,multimedia,RAM type,CPU clock speed (GHz),CPU model,state,drive memory size (GB),warranty,screen size,buynow_price
7771,dedicated graphics,"['wi-fi', 'bluetooth']",1920 x 1080,4,8 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1128.0,producer warranty,"15"" - 15.9""",3849.0
9024,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,12 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.0,intel core i3,new,1240.0,producer warranty,"15"" - 15.9""",3199.0
7469,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,256.0,seller warranty,"15"" - 15.9""",2452.0
8424,dedicated graphics,"['bluetooth', 'lan 10/100 mbps']",1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,120.0,producer warranty,"15"" - 15.9""",3353.0
297,,,,not applicable,,,,,,,,,new,,producer warranty,,5598.9
5184,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,8 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1256.0,producer warranty,"15"" - 15.9""",5233.0
2344,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1366 x 768,2,4 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.9,intel core i3,new,480.0,producer warranty,"15"" - 15.9""",2549.01
9876,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,8 gb,"['windows 7 professional 64-bit', 'windows 10 professional']",ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,250.0,producer warranty,"14"" - 14.9""",4660.0
315,integrated graphics,"['wi-fi', 'bluetooth']",1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel core i5,new,128.0,producer warranty,"14"" - 14.9""",4390.0
5773,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,4 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1128.0,producer warranty,"15"" - 15.9""",3637.0
10377,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,12 gb,['no system'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.0,intel core i3,new,1000.0,producer warranty,"15"" - 15.9""",2651.0
7226,dedicated graphics,,1920 x 1080,2,,,ssd,,,,,intel core i3,new,,producer warranty,"15"" - 15.9""",2299.0
7535,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.9,intel core i3,new,1000.0,seller warranty,"15"" - 15.9""",1694.0
7911,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1366 x 768,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.1,,new,256.0,producer warranty,"15"" - 15.9""",1949.0
11547,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,8 gb,"['windows 10 home', 'other']",ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,256.0,producer warranty,"15"" - 15.9""",3489.0
17,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel celeron dual-core,new,240.0,producer warranty,"15"" - 15.9""",1499.0
2768,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,4 gb,['no system'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",,,intel core i3,new,1000.0,producer warranty,"15"" - 15.9""",1909.0
2336,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1256.0,producer warranty,"15"" - 15.9""",4449.0
9005,integrated graphics,"['wi-fi 802.11 b/g/n/ac', 'bluetooth', 'lan 10/100 mbps']",1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel pentium 4,new,500.0,producer warranty,"15"" - 15.9""",1549.0
10870,integrated graphics,['bluetooth'],1366 x 768,4,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.1,intel celeron quad core ,new,500.0,producer warranty,"15"" - 15.9""",1679.0
6337,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1600 x 900,2,4 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.3,intel core i5,new,240.0,producer warranty,,2959.0
8196,,,,2,,,,,,,,,new,,producer warranty,,1499.0
2002,,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,amd a6,new,1000.0,producer warranty,"15"" - 15.9""",1595.0
3283,integrated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'intel wireless display (widi)']",,2,4 gb,,ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.3,intel core i5,new,120.0,producer warranty,"13"" - 13.9""",2619.0
1067,dedicated graphics,"['wi-fi', 'bluetooth']",1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,1.6,intel core i5,new,128.0,producer warranty,"15"" - 15.9""",3199.0
5370,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,12 gb,['windows 10 professional'],ssd + hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1240.0,producer warranty,"15"" - 15.9""",3399.0
3874,dedicated graphics,"['wi-fi 802.11 b/g/n/ac', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,1256.0,producer warranty,"17"" - 17.9""",4537.0
11039,integrated graphics,"['lan 10/100 mbps', 'nfc (near field communication)', 'gps']",1920 x 1080,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1000.0,producer warranty,"15"" - 15.9""",2999.0
11635,integrated graphics,"['wi-fi', 'bluetooth']",1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256.0,producer warranty,"13"" - 13.9""",3899.0
8197,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1366 x 768,2,2 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,1.6,intel celeron ,new,32.0,producer warranty,"11.9"" and less",860.0
3021,dedicated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,4,8 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,120.0,producer warranty,"17"" - 17.9""",3779.0
10086,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,16 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1250.0,producer warranty,"15"" - 15.9""",6299.0
11682,integrated graphics,"['bluetooth', 'lan 10/100/1000 mbps']",1366 x 768,2,8 gb,['windows 8.1 home 64-bit'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.24,intel core i7,new,128.0,producer warranty,"15"" - 15.9""",2499.0
6398,dedicated graphics,,,3,,,ssd + hdd,,,,,intel core i7,new,,producer warranty,"15"" - 15.9""",4599.0
8575,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,960.0,producer warranty,"15"" - 15.9""",7988.0
4416,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1366 x 768,4,4 gb,['windows 10 professional'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,1.8,amd a6,new,1000.0,producer warranty,"15"" - 15.9""",1619.0
837,integrated graphics,"['wi-fi', 'bluetooth']",1920 x 1080,4,2 gb,"['windows 10 home', 'other']",emmc,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel celeron quad core ,new,64.0,producer warranty,"11.9"" and less",499.0
11405,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.0,intel core i3,new,120.0,producer warranty,"15"" - 15.9""",2049.0
7769,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,500.0,producer warranty,"15"" - 15.9""",7199.0
5465,dedicated graphics,"['wi-fi', 'bluetooth']",1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,,intel core i3,new,,producer warranty,"15"" - 15.9""",2019.0
5753,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,32 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.6,intel core i7,new,500.0,producer warranty,"17"" - 17.9""",5499.0
10432,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,16 gb,"['windows 8.1 home 32-bit', 'other']",hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.4,intel core i7,new,1000.0,producer warranty,"17"" - 17.9""",3335.0
7744,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,16 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1128.0,producer warranty,"15"" - 15.9""",4699.0
8709,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,3.0,,new,1000.0,producer warranty,"15"" - 15.9""",2226.0
4365,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7000000000000002,intel core i5,new,128.0,seller warranty,"15"" - 15.9""",1799.0
863,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1600 x 900,2,8 gb,['windows 7 professional 64-bit'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.1,intel pentium dual-core,new,960.0,producer warranty,"17"" - 17.9""",3269.0
5434,dedicated graphics,['bluetooth'],1920 x 1080,4,8 gb,,hdd,,,,,intel core i5,new,1.0,producer warranty,"17"" - 17.9""",3499.0
2907,dedicated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.5,intel core i5,new,240.0,producer warranty,"15"" - 15.9""",4133.0
10741,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.5,intel core i7,new,256.0,seller warranty,"15"" - 15.9""",2649.0
2701,integrated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.4,intel core i3,new,480.0,producer warranty,"15"" - 15.9""",3189.0
5255,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,240.0,producer warranty,"17"" - 17.9""",3928.99
5441,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,8 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,1120.0,producer warranty,"15"" - 15.9""",3499.0
3081,integrated graphics,['nfc (near field communication)'],1366 x 768,2,2 gb,['windows 10 home'],ssd,['touchpad'],,ddr3l,1.6,intel celeron dual-core,new,32.0,producer warranty,"11.9"" and less",1699.0
581,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,240.0,producer warranty,"15"" - 15.9""",4209.0
8125,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.0,intel core i3,new,500.0,producer warranty,"15"" - 15.9""",3418.0
28,integrated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)']",1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,256.0,producer warranty,"13"" - 13.9""",3399.0
1097,integrated graphics,"['lan 10/100 mbps', 'nfc (near field communication)']",1920 x 1080,2,16 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr4,2.5,intel core i5,new,480.0,producer warranty,"15"" - 15.9""",3979.0
5735,,,1920 x 1080,2,8 gb,['windows 10 professional'],ssd,,"['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,256.0,producer warranty,"14"" - 14.9""",4999.0
3328,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,240.0,producer warranty,"15"" - 15.9""",6611.0
9906,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1366 x 768,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers']",ddr3,2.6,intel core i5,new,960.0,producer warranty,"15"" - 15.9""",3749.0
2326,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps']",1366 x 768,2,4 gb,['no system'],hdd,,"['SD card reader', 'camera']",,,intel core i3,new,1000.0,producer warranty,,1649.0
9891,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,12 gb,['no system'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1256.0,producer warranty,"15"" - 15.9""",6369.0
1531,integrated graphics,"['wi-fi 802.11 a/b/g/n/ac', 'bluetooth']",1920 x 1080,2,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad']","['SD card reader', 'camera']",,2.0,intel core i5,new,1000.0,producer warranty,"14"" - 14.9""",3449.0
9823,dedicated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,3.0,,new,480.0,producer warranty,"15"" - 15.9""",2539.0
3275,integrated graphics,,1366 x 768,2,4 gb,['linux'],,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,1.6,intel core i5,new,500.0,seller warranty,"15"" - 15.9""",2249.0
3993,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1366 x 768,2,4 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.6,intel celeron ,new,240.0,producer warranty,"15"" - 15.9""",1599.0
44,integrated graphics,"['wi-fi 802.11 a/b/g/n/ac', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,8 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3l,2.6,intel core i7,new,256.0,producer warranty,"14"" - 14.9""",5299.0
4202,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1366 x 768,2,8 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,1.7000000000000002,intel pentium dual-core,new,256.0,seller warranty,"15"" - 15.9""",1779.0
7851,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,16 gb,['no system'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,500.0,producer warranty,"15"" - 15.9""",4499.0
7618,,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1920 x 1080,4,4 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,amd a12,new,1000.0,producer warranty,"15"" - 15.9""",2279.0
6370,,,,2,,,,,,,,,new,,producer warranty,,1649.0
6490,integrated graphics,,1920 x 1080,4,2 gb,"['windows 10 home', 'other']",emmc,"['keyboard', 'touchpad']","['camera', 'speakers', 'microphone']",,1.33,other CPU,new,64.0,producer warranty,"11.9"" and less",649.0
7612,integrated graphics,,1600 x 900,2,8 gb,['other'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'speakers', 'microphone']",,2.6,intel core i7,new,,producer warranty,"14"" - 14.9""",3630.0
8142,,,,2,4 gb,,hdd,,,ddr3,,intel core i5,new,,seller warranty,"17"" - 17.9""",1700.0
1463,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,4,32 gb,['windows 10 home'],ssd + hdd,"['keyboard', 'touchpad', 'illuminated keyboard', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1250.0,producer warranty,"15"" - 15.9""",6599.0
3063,dedicated graphics,"['bluetooth', 'lan 10/100/1000 mbps', 'lan 10/100 mbps', 'intel wireless display (widi)', 'nfc (near field communication)', 'modem 3g (wwan)']",1920 x 1080,4,12 gb,['windows 10 home'],ssd,"['keyboard', 'touchpad', 'illuminated keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.5,intel core i5,new,480.0,producer warranty,"15"" - 15.9""",4159.0
2889,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1600 x 900,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.7,intel core i7,new,1000.0,seller warranty,"17"" - 17.9""",2670.0
11296,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1366 x 768,4,8 gb,"['windows 8.1 home 64-bit', 'other']",hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr3,2.2,amd a8,new,500.0,producer warranty,"15"" - 15.9""",3000.0
761,dedicated graphics,"['bluetooth', 'lan 10/100 mbps']",3840 x 2160,4,8 gb,['no system'],hdd,"['keyboard', 'touchpad', 'illuminated keyboard']","['camera', 'speakers', 'microphone']",ddr4,2.8,intel core i7,new,1000.0,producer warranty,"15"" - 15.9""",7374.0
1779,dedicated graphics,"['wi-fi', 'bluetooth', 'lan 10/100/1000 mbps']",1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,2.4,intel core i3,new,128.0,producer warranty,"15"" - 15.9""",2599.0
1887,,,,1,,,,,,,,,new,,producer warranty,,6510.0
6262,integrated graphics,"['wi-fi', 'bluetooth', 'lan 10/100 mbps']",1366 x 768,2,8 gb,['windows 10 home'],hdd,"['keyboard', 'touchpad', 'numeric keyboard']","['SD card reader', 'camera', 'speakers', 'microphone']",ddr4,,intel pentium 4,new,1000.0,producer warranty,"15"" - 15.9""",1547.0
4694,integrated graphics,"['bluetooth', 'lan 10/100 mbps']",1920 x 1080,2,12 gb,['windows 10 professional'],ssd,"['keyboard', 'touchpad']","['SD card reader', 'camera', 'microphone']",ddr4,2.0,intel core i3,new,120.0,producer warranty,"15"" - 15.9""",3576.0
